ActivitySiteID_april_may,ActivityDescription,BookingEndDateTime (Month / Day / Year),BookingStartTime_april_may,MaxBookees_april_may,Number Booked_april_may,Price (INR)_april_may,ActivitySiteID_june,BookingStartTime_june,MaxBookees_june,Number Booked_june,Price (INR)_june
SBP,Body Balan 11.30-12.30pm,2018-04-01,11:30:00,0.18758118013138322,-0.3805014658668073,0.809671495611881,,,,,
BRP,Body Combat 9-10am,2018-04-01,9:00:00,0.18758118013138322,1.1786998602569962,-0.442569798752331,,,,,
SBP,Body Combat 9.15-10.15am,2018-04-01,9:15:00,0.18758118013138322,1.074753105182076,-0.442569798752331,,,,,
SBP,Body Con 10.30-11.30am,2018-04-01,10:30:00,0.5215941272490185,0.658966084882395,-0.6930180576251733,,,,,
TSC,Body Conditioning 10-11am,2018-04-01,10:00:00,-0.1464317669862521,-0.4844482209417275,-0.6930180576251733,,,,,
BRP,Hatton Abc Box  10-11am,2018-04-01,10:00:00,-0.8144576612215227,-0.27655471079188704,0.18355084842977504,,,,,
BRP,Pure Stretch  11.00 12.00,2018-04-01,11:00:00,0.18758118013138322,0.8668595950322355,-1.068690445934437,,,,,
HXP,Studio Cyc 10.00 -10.50am,2018-04-01,10:00:00,-0.3468395352568333,0.24317906458271413,0.18355084842977504,,,,,
HXP,Studio Cyc 9.05-9.55am,2018-04-01,9:05:00,-0.3468395352568333,0.9708063501071558,0.18355084842977504,,,,,
NBL,Zumba 9.30-10.30am,2018-04-01,9:30:00,1.85764591571956,0.9708063501071558,-0.6930180576251733,,,,,
HXP,Aqua Fit 12.15-13.00,2018-04-02,12:15:00,-0.48044471410388745,-0.6923417310915679,-1.068690445934437,,,,,
BRP,Aquafit 11am - 12,2018-04-02,11:00:00,0.18758118013138322,-0.4844482209417275,-1.068690445934437,,,,,
BRP,Body Attack 10.00-11.00am,2018-04-02,10:00:00,0.18758118013138322,0.03528555443287367,0.18355084842977504,,,,,
SBP,Body Balance 12.30-1.30pm,2018-04-02,12:30:00,0.18758118013138322,-0.5883949760166477,0.809671495611881,,,,,
SBP,Body Combat 11.30-12.30pm,2018-04-02,11:30:00,0.18758118013138322,0.8668595950322355,-0.442569798752331,,,,,
TSC,Body Con 09.30-10.30am,2018-04-02,9:30:00,-0.5472473035274145,0.13923230950779392,-0.6930180576251733,,,,,
SBP,Body Con 10.30-11.30am,2018-04-02,10:30:00,0.18758118013138322,0.03528555443287367,-0.6930180576251733,,,,,
BRP,Body Cond  11-12noon,2018-04-02,11:00:00,0.18758118013138322,0.8668595950322355,-0.6930180576251733,,,,,
NBL,Body Pump  5.45-6.45pm,2018-04-02,16:30:00,1.85764591571956,2.530007676230959,0.18355084842977504,,,,,
SBP,H.I.I.T 9.30-10.30am,2018-04-02,9:30:00,0.18758118013138322,-1.2120755064661692,0.809671495611881,,,,,
BRP,Pilates 12.15-1.15pm,2018-04-02,12:15:00,0.18758118013138322,0.24317906458271413,1.435792142793987,,,,,
